index,C00960,C00170,A03070,C00710,A03450,C00030
2020-04-26,133769.0,121107.0,86032,111432,38941,6861
2020-05-03,117708.0,133479.5,110017,94326,34612,9542
2020-05-10,187121.0,141724.5,114749,94586,39079,9324
2020-05-17,151562.0,118897.0,129600,91603,42025,7139
2020-05-24,166924.0,153057.0,116723,96899,28512,8822
2020-05-31,155107.0,147351.0,129644,96023,39945,7907
2020-06-07,151065.0,163967.0,105255,97912,45845,8044
2020-06-14,133588.0,151566.5,113663,92655,44482,7274
2020-06-21,116540.0,129085.0,102831,94500,46834,6862
2020-06-28,136114.0,112529.5,101171,92575,33184,7412
2020-07-05,108023.0,152886.0,122590,93620,41517,8120
2020-07-12,128277.0,153445.9994,136748,105976,46137,6797
2020-07-19,133083.0,134875.0,148711,107740,40967,7162
2020-07-26,164914.0,132227.0006,137374,103060,40093,8092
2020-08-02,149994.0,117170.5,146122,102080,44126,11895
2020-08-09,131918.0,150726.0,160689,120730,36419,9583
2020-08-16,168687.0,157313.5,143843,118408,45331,8391
2020-08-23,144314.0,138898.0,112188,118710,37525,6079
2020-08-30,170198.0,166083.9996,122655,126576,36545,7420
2020-09-06,157026.0,135973.0,110471,133649,34509,7582
2020-09-13,164852.0,156641.0,151632,129154,41646,7412
2020-09-20,157389.0,175892.0,148495,124295,27976,6240
2020-09-27,171673.0007,169279.9994,152085,128327,24746,10514
2020-10-04,165081.0014,171197.0,151113,110756,37919,11099
2020-10-11,114443.0,141420.0,139480,75256,33249,11228
2020-10-18,128744.0,117304.0,152006,109571,25733,8552
2020-10-25,121917.0,136817.0,132432,123114,32733,6416
2020-11-01,128761.0,132789.0,139648,114253,31260,8632
2020-11-08,135706.0,104438.0,149403,109979,36442,6812
2020-11-15,119072.0,115486.0,158219,104685,30296,7748
2020-11-22,125908.0,126743.0,131722,107609,25047,10478
2020-11-29,122185.0007,142890.0,139785,107069,34959,11618
2020-12-06,132919.0,141150.0,154573,117527,37225,8732
2020-12-13,128568.0007,135763.0,169083,122054,34671,8164
2020-12-20,90468.0,90632.0,119607,63236,26955,5954
2020-12-27,105534.0,83029.0,114054,79395,18739,7670
2021-01-03,126931.0,146781.0,161551,87513,39464,13406
